ELM HO REV
ELM HOVER
ELM OH REV
HELM OVER
HELM ROVE
HOLM VEER
LEVER OHM
OHM REVEL

135235 function calls (135141 primitive calls) in 0.092 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        6    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1584(_get_spec)
        5    0.000    0.000    0.000    0.000 _compiler.py:243(_optimize_charset)
      173    0.000    0.000    0.000    0.000 anagrama.py:302(obtem_total_letras)
      386    0.000    0.000    0.000    0.000 _parser.py:240(__next)
      255    0.000    0.000    0.000    0.000 {method 'join' of 'str' objects}
        3    0.000    0.000    0.000    0.000 anagrama.py:204(filtra_candidatos_a_anagrama_invalidos)
        1    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1681(path_hook_for_FileFinder)
        8    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:426(_get_module_lock)
        8    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:162(__enter__)
        1    0.000    0.000    0.000    0.000 <frozen zipimport>:64(__init__)
       30    0.000    0.000    0.000    0.000 {built-in method _codecs.utf_8_decode}
        6    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:801(spec_from_file_location)
      223    0.000    0.000    0.000    0.000 {method 'endswith' of 'str' objects}
        1    0.000    0.000    0.000    0.000 anagrama.py:337(obtem_caminho_do_arquivo_com_as_palavras)
        2    0.000    0.000    0.000    0.000 _compiler.py:511(_compile_info)
       10    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:132(_path_split)
        5    0.000    0.000    0.000    0.000 enum.py:713(__call__)
        1    0.000    0.000    0.000    0.000 enum.py:1531(__or__)
        8    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:124(setdefault)
      151    0.000    0.000    0.000    0.000 {method 'startswith' of 'str' objects}
        8    0.000    0.000    0.000    0.000 __init__.py:82(find_spec)
      199    0.000    0.000    0.000    0.000 {method 'rstrip' of 'str' objects}
        1    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:164(_path_isdir)
        2    0.000    0.000    0.000    0.000 __init__.py:343(__init__)
        5    0.000    0.000    0.000    0.000 enum.py:1116(__new__)
        3    0.000    0.000    0.000    0.000 __init__.py:509(PYFUNCTYPE)
       67    0.000    0.000    0.000    0.000 _parser.py:168(__getitem__)
        7    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:420(__exit__)
        7    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:185(_path_abspath)
     19/6    0.000    0.000    0.000    0.000 _parser.py:178(getwidth)
        8    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:372(release)
       14    0.000    0.000    0.000    0.000 {built-in method builtins.max}
        8    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:982(find_spec)
        7    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:172(_path_isabs)
        2    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:997(exec_module)
        1    0.000    0.000    0.000    0.000 __init__.py:265(_reset_cache)
        2    0.000    0.000    0.000    0.000 __init__.py:73(CFUNCTYPE)
        1    0.000    0.000    0.000    0.000 enum.py:1401(_missing_)
        1    0.000    0.000    0.000    0.000 {built-in method nt._path_isfile}
        2    0.000    0.000    0.000    0.000 {built-in method _imp.exec_builtin}
       14    0.000    0.000    0.000    0.000 __init__.py:145(_check_size)
        7    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:232(__init__)
        1    0.000    0.000    0.000    0.000 __init__.py:446(__getattr__)
        2    0.000    0.000    0.000    0.000 {built-in method _ctypes.POINTER}
        5    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:665(_classify_pyc)
        1    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:463(_lock_unlock_module)
        4    0.000    0.000    0.000    0.000 _parser.py:98(closegroup)
        2    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:989(create_module)
       15    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:84(_unpack_uint32)
        2    0.000    0.000    0.000    0.000 <frozen ntpath>:107(join)
       55    0.000    0.000    0.000    0.000 _parser.py:256(match)
       68    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:491(_verbose_message)
       30    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:134(<genexpr>)
